"survey","line","station","order","long_dd","lat_dd","pattern","lat_utm11m","long_utm11m","depth","lat_utm11km","long_utm11km"
"ROS",93.3,26.7,1,-117.30538,32.95637,"75 stations (summer/fall)",3646491.51250235,471458.584808816,63,3646.49151250235,471.458584808816
"SCCOOS",93.4,26.4,2,-117.27357,32.94905,"75 stations (summer/fall)",3645671.84764919,474429.512173906,20,3645.67184764919,474.429512173906
"SCCOOS",91.7,26.4,3,-117.46542,33.2435,"75 stations (summer/fall)",3678378.44454379,456642.031542352,20,3678.37844454379,456.642031542352
"ROS",93.3,28,4,-117.39438,32.91304,"75 stations (summer/fall)",3641715.58099713,463122.445238221,609,3641.71558099713,463.122445238221
"ROS",93.3,30,5,-117.53122,32.84637,"75 stations (summer/fall)",3634380.7107858,450289.521460764,846,3634.3807107858,450.289521460764
"ROS",93.3,35,6,-117.87286,32.67971,"75 stations (summer/fall)",3616117.05719934,418166.391029198,616,3616.11705719934,418.166391029198
"ROS",93.3,40,7,-118.21386,32.51304,"75 stations (summer/fall)",3597953.83800084,385983.827153862,1627,3597.95383800084,385.983827153862
"ROS",93.3,45,8,-118.55423,32.34637,"75 stations (summer/fall)",3579890.77568297,353741.50835066,1376,3579.89077568297,353.74150835066
"ROS",93.3,50,9,-118.89396,32.17971,"75 stations (summer/fall)",3561927.57009717,321440.983139883,1452,3561.92757009717,321.440983139883
"ROS",93.3,55,10,-119.23306,32.01304,"75 stations (summer/fall)",3544060.62107537,289081.840285555,1588,3544.06062107537,289.081840285555
"ROS",93.3,60,11,-119.57154,31.84637,"75 stations (summer/fall)",3526289.66504205,256663.691125357,1899,3526.28966504205,256.663691125357
"ROS",93.3,70,12,-120.24666,31.51304,"75 stations (summer/fall)",3491031.34817911,191650.543763864,3931,3491.03134817911,191.650543763864
"ROS",93.3,80,13,-120.91935,31.17971,"75 stations (summer/fall)",3456140.53828558,126402.500443757,3848,3456.14053828558,126.402500443757
"ROS",93.3,90,14,-121.58965,30.84637,"75 stations (summer/fall)",3421605.24513188,60919.1601209838,4109,3421.60524513188,60.9191601209838
"ROS",93.3,100,15,-122.2576,30.51304,"75 stations (summer/fall)",3387416.88296012,-4800.13040772051,4132,3387.41688296012,-4.80013040772051
"ROS",93.3,110,16,-122.92324,30.17971,"75 stations (summer/fall)",3353563.61154339,-70756.5240842259,3868,3353.56361154339,-70.7565240842259
"ROS",93.3,120,17,-123.58661,29.84637,"75 stations (summer/fall)",3320033.66137127,-136951.566283252,4061,3320.03366137127,-136.951566283252
"ROS",90,120,18,-123.99893,30.41795,"75 stations (summer/fall)",3385976.08797414,-173004.123605168,4141,3385.97608797414,-173.004123605168
"ROS",90,110,19,-123.33164,30.75128,"75 stations (summer/fall)",3419219.86450077,-106612.383367594,4017,3419.21986450077,-106.612383367594
"ROS",90,100,20,-122.66202,31.08462,"75 stations (summer/fall)",3452795.76181033,-40466.0610893595,3997,3452.79576181033,-40.4660610893595
"ROS",90,90,21,-121.99001,31.41795,"75 stations (summer/fall)",3486712.06954875,25438.0741776784,3879,3486.71206954875,25.4380741776784
"ROS",90,80,22,-121.31559,31.75128,"75 stations (summer/fall)",3520980.68023394,91099.2370662442,3694,3520.98068023394,91.0992370662442
"ROS",90,70,23,-120.63872,32.08462,"75 stations (summer/fall)",3555613.44968588,156518.15356935,3806,3555.61344968588,156.51815356935
"ROS",90,60,24,-119.95935,32.41795,"75 stations (summer/fall)",3590618.95394144,221695.980577556,880,3590.61895394144,221.695980577556
"ROS",90,53,25,-119.48228,32.65128,"75 stations (summer/fall)",3615350.97035084,267177.186125647,1309,3615.35097035084,267.177186125647
"ROS",90,45,26,-118.93551,32.91795,"75 stations (summer/fall)",3643852.60076602,319011.349399314,1695,3643.85260076602,319.011349399314
"ROS",90,37,27,-118.38708,33.18462,"75 stations (summer/fall)",3672611.05464268,370690.196589555,1177,3672.61105464268,370.690196589555
"ROS",90,35,28,-118.24971,33.25128,"75 stations (summer/fall)",3679840.62860327,383585.635716918,344,3679.84062860327,383.585635716918
"ROS",90,30,29,-117.90582,33.41795,"75 stations (summer/fall)",3697989.13879654,415781.887354709,613,3697.98913879654,415.781887354709
"ROS",90,28,30,-117.76808,33.48462,"75 stations (summer/fall)",3705277.94439625,428643.144372204,63,3705.27794439625,428.643144372204
"SCCOOS",90,27.7,31,-117.74741,33.49462,"75 stations (summer/fall)",3706372.65734873,430571.471745106,20,3706.37265734873,430.571471745106
"SCCOOS",88.5,30.1,32,-118.08369,33.67442,"75 stations (summer/fall)",3726584.07647986,399541.062266861,20,3726.58407647986,399.541062266861
"SCCOOS",86.8,32.5,33,-118.44423,33.88887,"75 stations (summer/fall)",3750772.84430223,366449.667725986,20,3750.77284430223,366.449667725986
"ROS",86.7,33,34,-118.49033,33.88953,"75 stations (summer/fall)",3750906.92146394,362187.425435037,57,3750.90692146394,362.187425435037
"ROS",86.7,35,35,-118.62873,33.82286,"75 stations (summer/fall)",3743708.01933924,349271.038934811,662,3743.70801933924,349.271038934811
"SCCOOS",85.4,35.8,36,-118.83413,34.02136,"75 stations (summer/fall)",3766041.19089945,330653.573640714,20,3766.04119089945,330.653573640714
"ROS",86.7,40,37,-118.97425,33.65619,"75 stations (summer/fall)",3725784.4145209,316936.97642429,737,3725.7844145209,316.93697642429
"ROS",86.7,45,38,-119.3191,33.48953,"75 stations (summer/fall)",3707965.2527887,284540.408788189,1644,3707.9652527887,284.540408788189
"ROS",86.7,50,39,-119.66327,33.32286,"75 stations (summer/fall)",3690246.90346325,252082.82741463,78,3690.24690346325,252.08282741463
"ROS",86.7,55,40,-120.00678,33.15619,"75 stations (summer/fall)",3672629.12967442,219562.976253475,1201,3672.62912967442,219.562976253475
"ROS",86.7,60,41,-120.34964,32.98953,"75 stations (summer/fall)",3655111.6878105,186980.510502778,722,3655.1116878105,186.980510502778
"ROS",86.7,70,42,-121.03339,32.65619,"75 stations (summer/fall)",3620366.67961243,121631.527071973,3771,3620.36667961243,121.631527071973
"ROS",86.7,80,43,-121.71457,32.32286,"75 stations (summer/fall)",3586003.25370677,56035.2133719307,4041,3586.00325370677,56.0352133719307
"ROS",86.7,90,44,-122.39323,31.98953,"75 stations (summer/fall)",3552009.55528013,-9809.62919660221,4099,3552.00955528013,-9.80962919660221
"ROS",86.7,100,45,-123.0694,31.65619,"75 stations (summer/fall)",3518373.71986209,-75902.7388238237,4147,3518.37371986209,-75.9027388238238
"ROS",86.7,110,46,-123.74313,31.32286,"75 stations (summer/fall)",3485087.38535817,-142245.957419945,3951,3485.08738535817,-142.245957419945
"ROS",83.3,110,47,-124.1704,31.91176,"75 stations (summer/fall)",3553177.53989509,-178715.899704351,4163,3553.17753989509,-178.715899704351
"ROS",83.3,100,48,-123.49232,32.24509,"75 stations (summer/fall)",3586156.14579593,-112164.741773907,4145,3586.15614579593,-112.164741773907
"ROS",83.3,90,49,-122.81173,32.57842,"75 stations (summer/fall)",3619490.44527496,-45870.4294014426,4247,3619.49044527496,-45.8704294014426
"ROS",83.3,80,50,-122.12858,32.91176,"75 stations (summer/fall)",3653192.07174742,20168.9909976886,4180,3653.19207174742,20.1689909976886
"ROS",83.3,70,51,-121.44283,33.24509,"75 stations (summer/fall)",3687269.46560113,85953.956696716,3797,3687.26946560113,85.953956696716
"ROS",83.3,60,52,-120.75443,33.57842,"75 stations (summer/fall)",3721734.44121603,151485.603706634,1397,3721.73444121603,151.485603706634
"ROS",83.3,55,53,-120.40923,33.74509,"75 stations (summer/fall)",3739116.22766797,184155.800775007,999,3739.11622766797,184.155800775007
"ROS",83.3,51,54,-120.13258,33.87842,"75 stations (summer/fall)",3753093.60910604,210246.470972937,102,3753.09360910604,210.246470972937
"ROS",83.3,42,55,-119.50851,34.17842,"75 stations (summer/fall)",3784783.39966098,268802.535091623,134,3784.78339966098,268.802535091623
"ROS",83.3,40.6,56,-119.41124,34.22509,"75 stations (summer/fall)",3789743.54405716,277891.984734328,34,3789.74354405716,277.891984734328
"SCCOOS",83.3,39.4,57,-119.32781,34.26509,"75 stations (summer/fall)",3794001.29705786,285680.106604124,20,3794.00129705786,285.680106604124
"SCCOOS",81.7,43.5,58,-119.80037,34.40555,"75 stations (summer/fall)",3810680.18463377,242590.020170838,20,3810.68018463377,242.590020170838
"ROS",81.8,46.9,59,-120.02524,34.2749,"75 stations (summer/fall)",3796780.24588228,221481.116239347,578,3796.78024588228,221.481116239347
"SCCOOS",80,50.5,60,-120.48906,34.46667,"75 stations (summer/fall)",3819428.17239865,179493.798845941,20,3819.42817239865,179.493798845941
"ROS",80,51,61,-120.5239,34.45,"75 stations (summer/fall)",3817689.46565347,176227.480175275,73,3817.68946565347,176.227480175275
"ROS",80,55,62,-120.80245,34.31667,"75 stations (summer/fall)",3803820.66778814,150066.100323892,780,3803.82066778814,150.066100323892
"ROS",80,60,63,-121.15,34.15,"75 stations (summer/fall)",3786576.19260644,117306.832776537,2204,3786.57619260644,117.306832776537
"ROS",80,70,64,-121.84304,33.81667,"75 stations (summer/fall)",3752391.21403934,51592.6986160445,3631,3752.39121403934,51.5926986160445
"ROS",80,80,65,-122.53335,33.48333,"75 stations (summer/fall)",3718599.89643849,-14380.5493096032,4007,3718.59989643849,-14.3805493096032
"ROS",80,90,66,-123.22099,33.15,"75 stations (summer/fall)",3685193.85418208,-80614.7190041972,4229,3685.19385418208,-80.6147190041972
"ROS",80,100,67,-123.90599,32.81667,"75 stations (summer/fall)",3652161.30941882,-147109.412340782,4348,3652.16130941882,-147.109412340782
"ROS",76.7,100,68,-124.32289,33.38824,"75 stations (summer/fall)",3718384.65860019,-181797.374202326,4551,3718.38465860019,-181.797374202326
"ROS",76.7,90,69,-123.63335,33.72158,"75 stations (summer/fall)",3751106.27674317,-115096.59699831,4201,3751.10627674317,-115.09659699831
"ROS",76.7,80,70,-122.94109,34.05491,"75 stations (summer/fall)",3784207.8820591,-48662.1756012291,4235,3784.2078820591,-48.6621756012291
"ROS",76.7,70,71,-122.24608,34.38824,"75 stations (summer/fall)",3817701.2158851,17505.4464400083,4017,3817.7012158851,17.5054464400083
"ROS",76.7,60,72,-121.54828,34.72158,"75 stations (summer/fall)",3851598.02789672,83406.3083423062,930,3851.59802789672,83.4063083423062
"ROS",76.7,55,73,-121.19831,34.88824,"75 stations (summer/fall)",3868699.51393604,116257.541253512,562,3868.69951393604,116.257541253512
"ROS",76.7,51,74,-120.91782,35.02158,"75 stations (summer/fall)",3882457.29396567,142490.528469297,240,3882.45729396567,142.490528469297
"ROS",76.7,49,75,-120.7774,35.08824,"75 stations (summer/fall)",3889360.38871902,155591.193559634,69,3889.36038871902,155.591193559634
"ROS",73.3,50,76,-121.25575,35.64381,"104/113 stations (winter/spring)",3952792.68667881,114607.47433096,30,3952.79268667881,114.60747433096
"ROS",73.3,55,77,-121.60901,35.47714,"104/113 stations (winter/spring)",3935734.47472276,81727.9629533326,1003,3935.73447472276,81.7279629533326
"ROS",73.3,60,78,-121.96154,35.31047,"104/113 stations (winter/spring)",3918782.89999583,48779.6537053873,2380,3918.78289999583,48.7796537053873
"ROS",73.3,70,79,-122.6644,34.97714,"104/113 stations (winter/spring)",3885195.27239417,-17320.1508216083,4072,3885.19527239417,-17.3201508216083
"ROS",73.3,80,80,-123.36439,34.64381,"104/113 stations (winter/spring)",3852018.11086278,-83693.2626782157,4164,3852.01811086278,-83.6932626782157
"ROS",73.3,90,81,-124.06154,34.31047,"104/113 stations (winter/spring)",3819239.65297426,-150338.738709218,3186,3819.23965297426,-150.338738709218
"ROS",73.3,100,82,-124.7559,33.97714,"104/113 stations (winter/spring)",3786851.66507196,-217257.676979268,NA,3786.85166507196,-217.257676979268
"ROS",70,100,83,-125.17964,34.54872,"104/113 stations (winter/spring)",3853539.96538045,-251393.724641511,NA,3853.53996538045,-251.393724641511
"ROS",70,90,84,-124.48047,34.88205,"104/113 stations (winter/spring)",3885594.33640618,-184258.265379865,4336,3885.59433640618,-184.258265379865
"ROS",70,80,85,-123.77843,35.21538,"104/113 stations (winter/spring)",3918046.36485933,-117402.438338052,4078,3918.04636485933,-117.402438338052
"ROS",70,70,86,-123.07348,35.54872,"104/113 stations (winter/spring)",3950907.61655373,-50825.924114253,3845,3950.90761655373,-50.825924114253
"ROS",70,60,87,-122.36556,35.88205,"104/113 stations (winter/spring)",3984186.30197377,15472.7521291982,3071,3984.18630197377,15.4727521291982
"ROS",70,55,88,-122.01048,36.04872,"104/113 stations (winter/spring)",4000986.50786296,48517.2061332025,1304,4000.98650786296,48.5172061332025
"ROS",70,51,89,-121.72586,36.18205,"104/113 stations (winter/spring)",4014504.10848778,74903.5178636418,420,4014.50410848778,74.9035178636418
"ROS",66.7,50,90,-122.05633,36.78696,"104/113 stations (winter/spring)",4083182.75927403,48688.8468670971,1006,4083.18275927403,48.6888468670971
"ROS",66.7,55,91,-122.41482,36.62029,"104/113 stations (winter/spring)",4066428.06505944,15616.3007973372,2613,4066.42806505944,15.6163007973372
"ROS",66.7,60,92,-122.77254,36.45363,"104/113 stations (winter/spring)",4049785.27003771,-17528.2332847514,2954,4049.78527003771,-17.5282332847514
"ROS",66.7,65,93,-123.12948,36.28696,"104/113 stations (winter/spring)",4033250.74355653,-50743.4019725269,3273,4033.25074355653,-50.7434019725269
"ROS",66.7,70,94,-123.48565,36.12029,"104/113 stations (winter/spring)",4016824.29312671,-84029.4791395151,3581,4016.82429312671,-84.0294791395151
"ROS",66.7,75,95,-123.84106,35.95363,"104/113 stations (winter/spring)",4000505.73842816,-117386.756111927,3885,4000.50573842816,-117.386756111927
"ROS",66.7,80,96,-124.19571,35.78696,"104/113 stations (winter/spring)",3984291.50902029,-150814.882095027,3964,3984.29150902029,-150.814882095027
"ROS",66.7,85,97,-124.54962,35.62029,"104/113 stations (winter/spring)",3968181.50737717,-184315.119082673,NA,3968.18150737717,-184.315119082673
"ROS",66.7,90,98,-124.90278,35.45363,"104/113 stations (winter/spring)",3952175.44140736,-217886.024026265,4437,3952.17544140736,-217.886024026265
"ROS",66.7,95,99,-125.2552,35.28696,"104/113 stations (winter/spring)",3936269.82065627,-251528.258471846,NA,3936.26982065627,-251.528258471846
"ROS",66.7,100,100,-125.60689,35.12029,"104/113 stations (winter/spring)",3920464.50293564,-285242.254401897,NA,3920.46450293564,-285.242254401897
"ROS",63.3,100,101,-126.05088,35.70919,"104/113 stations (winter/spring)",3989672.56082247,-319805.985039826,NA,3989.67256082247,-319.805985039826
"ROS",63.3,90,102,-125.34152,36.04252,"104/113 stations (winter/spring)",4021015.54896096,-252216.472405427,4224,4021.01554896096,-252.216472405427
"ROS",63.3,80,103,-124.62912,36.37586,"104/113 stations (winter/spring)",4052775.23032207,-184918.732011725,4153,4052.77523032207,-184.918732011725
"ROS",63.3,70,104,-123.91364,36.70919,"104/113 stations (winter/spring)",4084959.7203527,-117912.879692416,3890,4084.9597203527,-117.912879692416
"ROS",63.3,60,105,-123.19502,37.04252,"104/113 stations (winter/spring)",4117580.43551067,-51197.4249431554,2566,4117.58043551067,-51.1974249431554
"ROS",63.3,55,106,-122.83452,37.20919,"104/113 stations (winter/spring)",4134058.22295089,-17948.8179539796,301,4134.05822295089,-17.9488179539796
"ROS",63.3,52,107,-122.61783,37.30919,"104/113 stations (winter/spring)",4143998.80135638,1965.87973061437,89,4143.99880135638,1.96587973061437
"ROS",60,53,108,-123.09942,37.84743,"104/113 stations (winter/spring)",4206458.21595601,-36872.1707716889,87,4206.45821595601,-36.8721707716889
"ROS",60,60,109,-123.60825,37.6141,"104/113 stations (winter/spring)",4183590.96820805,-83545.0281587446,3298,4183.59096820805,-83.5450281587446
"ROS",60,70,110,-124.33237,37.28077,"104/113 stations (winter/spring)",4151309.95402276,-150472.833330754,3999,4151.30995402276,-150.472833330754
"ROS",60,80,111,-125.05327,36.94743,"104/113 stations (winter/spring)",4119473.36983751,-217697.9707029,4339,4119.47336983751,-217.6979707029
"ROS",60,90,112,-125.77099,36.6141,"104/113 stations (winter/spring)",4088073.05224199,-285219.748251328,4516,4088.07305224199,-285.219748251328
"ROS",60,100,113,-126.48559,36.28077,"104/113 stations (winter/spring)",4057097.76178097,-353040.009277146,NA,4057.09776178097,-353.040009277146
