"comm_name","species","class","order","family","genus"
"Cabezon","Scorpaenichthys marmoratus","Actinopterygii","Scorpaeniformes","Cottidae","Scorpaenichthys"
"Manacled sculpin","Synchirus gilli","Actinopterygii","Scorpaeniformes","Cottidae","Synchirus"
"Flabby sculpin","Zesticelus profundorum","Actinopterygii","Scorpaeniformes","Cottidae","Zesticelus"
"Silverspotted sculpin","Blepsias cirrhosus","Actinopterygii","Scorpaeniformes","Hemitripteridae","Blepsias"
"Sailfin sculpin","Nautichthys oculofasciatus","Actinopterygii","Scorpaeniformes","Hemitripteridae","Nautichthys"
"Kelp greenling","Hexagrammos decagrammus","Actinopterygii","Scorpaeniformes","Hexagrammidae","Hexagrammos"
"Rock greenling","Hexagrammos lagocephalus","Actinopterygii","Scorpaeniformes","Hexagrammidae","Hexagrammos"
"Whitespotted greenling","Hexagrammos stelleri","Actinopterygii","Scorpaeniformes","Hexagrammidae","Hexagrammos"
"Lingcod","Ophiodon elongatus","Actinopterygii","Scorpaeniformes","Hexagrammidae","Ophiodon"
"Painted greenling","Oxylebius pictus","Actinopterygii","Scorpaeniformes","Hexagrammidae","Oxylebius"
"Atka mackerel","Pleurogrammus monopterygius","Actinopterygii","Scorpaeniformes","Hexagrammidae","Pleurogrammus"
"Shortspine combfish","Zaniolepis frenata","Actinopterygii","Scorpaeniformes","Hexagrammidae","Zaniolepis"
"Longspine combfish","Zaniolepis latipinnis","Actinopterygii","Scorpaeniformes","Hexagrammidae","Zaniolepis"
"Blacktail snailfish","Careproctus melanurus","Actinopterygii","Scorpaeniformes","Liparidae","Careproctus"
"Tidepool snailfish","Liparis florae","Actinopterygii","Scorpaeniformes","Liparidae","Liparis"
"Slipskin snailfish","Liparis fucensis","Actinopterygii","Scorpaeniformes","Liparidae","Liparis"
"Slimy snailfish","Liparis mucosus","Actinopterygii","Scorpaeniformes","Liparidae","Liparis"
"Showy snailfish","Liparis pulchellus","Actinopterygii","Scorpaeniformes","Liparidae","Liparis"
"Ringtail snailfish","Liparis rutteri","Actinopterygii","Scorpaeniformes","Liparidae","Liparis"
"Grunt sculpin","Rhamphocottus richardsonii","Actinopterygii","Scorpaeniformes","Rhamphocottidae","Rhamphocottus"
"California scorpionfish","Scorpaena guttata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Scorpaena"
"Rainbow scorpionfish","Scorpaenodes xyris","Actinopterygii","Scorpaeniformes","Scorpaenidae","Scorpaenodes"
"Rougheye rockfish","Sebastes aleutianus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Pacific ocean perch","Sebastes alutus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Kelp rockfish","Sebastes atrovirens","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Brown rockfish","Sebastes auriculatus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Aurora rockfish","Sebastes aurora","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Redbanded rockfish","Sebastes babcocki","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Shortraker rockfish","Sebastes borealis","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Silvergray rockfish","Sebastes brevispinis","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Gopher rockfish","Sebastes carnatus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Copper rockfish","Sebastes caurinus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Greenspotted rockfish","Sebastes chlorostictus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Black-and-yellow rockfish","Sebastes chrysomelas","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Starry rockfish","Sebastes constellatus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Darkblotched rockfish","Sebastes crameri","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Calico rockfish","Sebastes dallii","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Splitnose rockfish","Sebastes diploproa","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Greenstriped rockfish","Sebastes elongatus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Swordspine rockfish","Sebastes ensifer","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Widow rockfish","Sebastes entomelas","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Pink rockfish","Sebastes eos","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Yellowtail rockfish","Sebastes flavidus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Bronzespotted rockfish","Sebastes gilli","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Chilipepper rockfish","Sebastes goodei","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rosethorn rockfish","Sebastes helvomaculatus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Squarespot rockfish","Sebastes hopkinsi","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Shortbelly rockfish","Sebastes jordani","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Freckled rockfish","Sebastes lentiginosus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Cowcod","Sebastes levis","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Mexican rockfish","Sebastes macdonaldi","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Black rockfish","Sebastes melanops","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Blackgill rockfish","Sebastes melanostomus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Vermilion rockfish","Sebastes miniatus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Blue rockfish","Sebastes mystinus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"China rockfish","Sebastes nebulosus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Tiger rockfish","Sebastes nigrocinctus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Speckled rockfish","Sebastes ovalis","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Bocaccio rockfish","Sebastes paucispinis","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Chameleon rockfish","Sebastes phillipsi","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Canary rockfish","Sebastes pinniger","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Redstripe rockfish","Sebastes proriger","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Grass rockfish","Sebastes rastrelliger","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Yellowmouth rockfish","Sebastes reedi","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rosy rockfish","Sebastes rosaceus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Greenblotched rockfish","Sebastes rosenblatti","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Yelloweye rockfish","Sebastes ruberrimus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Flag rockfish","Sebastes rubrivinctus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Bank rockfish","Sebastes rufus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Stripetail rockfish","Sebastes saxicola","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Halfbanded rockfish","Sebastes semicinctus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Olive rockfish","Sebastes serranoides","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Treefish","Sebastes serriceps","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Pinkrose rockfish","Sebastes simulator","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Honeycomb rockfish","Sebastes umbrosus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Pygmy rockfish","Sebastes wilsoni","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Sharpchin rockfish","Sebastes zacentrus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"False kelpfish","Sebastiscus marmoratus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastiscus"
"Shortspine thornyhead","Sebastolobus alascanus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastolobus"
"Longspine thornyhead","Sebastolobus altivelis","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastolobus"
"Splitnose searobin","Bellator xenisma","Actinopterygii","Scorpaeniformes","Triglidae","Bellator"
"Lumptail searobin","Prionotus stephanophrys","Actinopterygii","Scorpaeniformes","Triglidae","Prionotus"
"Chilhuil sea catfish","Bagre panamensis","Actinopterygii","Siluriformes","Ariidae","Bagre"
"Crested bigscale","Poromitra crassiceps","Actinopterygii","Stephanoberyciformes","Melamphaidae","Poromitra"
"Twospine bigscale","Scopelogadus bispinosus","Actinopterygii","Stephanoberyciformes","Melamphaidae","Scopelogadus"
"Benttooth bristlemouth","Cyclothone acclinidens","Actinopterygii","Stomiiformes","Gonostomatidae","Cyclothone"
"Pacific hatchet fish","Argyropelecus affinis","Actinopterygii","Stomiiformes","Sternoptychidae","Argyropelecus"
"Half-naked hatchetfish","Argyropelecus hemigymnus","Actinopterygii","Stomiiformes","Sternoptychidae","Argyropelecus"
"Tropical hatchetfish","Argyropelecus lychnus","Actinopterygii","Stomiiformes","Sternoptychidae","Argyropelecus"
"Sladen's hatchet fish","Argyropelecus sladeni","Actinopterygii","Stomiiformes","Sternoptychidae","Argyropelecus"
"Bottlelights","Danaphos oculatus","Actinopterygii","Stomiiformes","Sternoptychidae","Danaphos"
"Highfin dragonfish","Bathophilus flemingi","Actinopterygii","Stomiiformes","Stomiidae","Bathophilus"
"Pacific viperfish","Chauliodus macouni","Actinopterygii","Stomiiformes","Stomiidae","Chauliodus"
"Longfin dragonfish","Tactostoma macropus","Actinopterygii","Stomiiformes","Stomiidae","Tactostoma"
"Slender snipefish","Macroramphosus gracilis","Actinopterygii","Syngnathiformes","Centriscidae","Macroramphosus"
"Snubnose pipefish","Cosmocampus arctus","Actinopterygii","Syngnathiformes","Syngnathidae","Cosmocampus"
"Pacific seahorse","Hippocampus ingens","Actinopterygii","Syngnathiformes","Syngnathidae","Hippocampus"
"Greater pipefish","Syngnathus acus","Actinopterygii","Syngnathiformes","Syngnathidae","Syngnathus"
"Barred pipefish","Syngnathus auliscus","Actinopterygii","Syngnathiformes","Syngnathidae","Syngnathus"
"Kelp pipefish","Syngnathus californiensis","Actinopterygii","Syngnathiformes","Syngnathidae","Syngnathus"
"Barcheek pipefish","Syngnathus exilis","Actinopterygii","Syngnathiformes","Syngnathidae","Syngnathus"
"Bay pipefish","Syngnathus leptorhynchus","Actinopterygii","Syngnathiformes","Syngnathidae","Syngnathus"
"Finescale triggerfish","Balistes polylepis","Actinopterygii","Tetraodontiformes","Balistidae","Balistes"
"Black triggerfish","Melichthys niger","Actinopterygii","Tetraodontiformes","Balistidae","Melichthys"
"Redtail triggerfish","Xanthichthys mento","Actinopterygii","Tetraodontiformes","Balistidae","Xanthichthys"
"Spotfin burrfish","Chilomycterus reticulatus","Actinopterygii","Tetraodontiformes","Diodontidae","Chilomycterus"
"Spot-fin porcupinefish","Diodon hystrix","Actinopterygii","Tetraodontiformes","Diodontidae","Diodon"
"Ocean sunfish","Mola mola","Actinopterygii","Tetraodontiformes","Molidae","Mola"
"Slender sunfish","Ranzania laevis","Actinopterygii","Tetraodontiformes","Molidae","Ranzania"
"Roundbelly cowfish","Lactoria diaphana","Actinopterygii","Tetraodontiformes","Ostraciidae","Lactoria"
"Oceanic puffer","Lagocephalus lagocephalus","Actinopterygii","Tetraodontiformes","Tetraodontidae","Lagocephalus"
"Bullseye puffer","Sphoeroides annulatus","Actinopterygii","Tetraodontiformes","Tetraodontidae","Sphoeroides"
"Warty dory","Allocyttus verrucosus","Actinopterygii","Zeiformes","Oreosomatidae","Allocyttus"
"Mirror dory","Zenopsis nebulosa","Actinopterygii","Zeiformes","Zeidae","Zenopsis"
"Pacific lamprey","Entosphenus tridentatus","Cephalaspidomorphi","Petromyzontiformes","Petromyzontidae","Entosphenus"
"Western river lamprey","Lampetra ayresii","Cephalaspidomorphi","Petromyzontiformes","Petromyzontidae","Lampetra"
"Copper shark","Carcharhinus brachyurus","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Bull shark","Carcharhinus leucas","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Oceanic whitetip shark","Carcharhinus longimanus","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Dusky shark","Carcharhinus obscurus","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Tiger shark","Galeocerdo cuvier","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Galeocerdo"
"Blue shark","Prionace glauca","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Prionace"
"Pacific sharpnose shark","Rhizoprionodon longurio","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Rhizoprionodon"
"Brown catshark","Apristurus brunneus","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Apristurus"
"Longnose catshark","Apristurus kampae","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Apristurus"
"Swellshark","Cephaloscyllium ventriosum","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Cephaloscyllium"
"Filetail catshark","Parmaturus xaniurus","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Parmaturus"
"Scalloped hammerhead","Sphyrna lewini","Elasmobranchii","Carcharhiniformes","Sphyrnidae","Sphyrna"
"Bonnethead","Sphyrna tiburo","Elasmobranchii","Carcharhiniformes","Sphyrnidae","Sphyrna"
"Smooth hammerhead","Sphyrna zygaena","Elasmobranchii","Carcharhiniformes","Sphyrnidae","Sphyrna"
"Tope shark","Galeorhinus galeus","Elasmobranchii","Carcharhiniformes","Triakidae","Galeorhinus"
"Gray smoothhound","Mustelus californicus","Elasmobranchii","Carcharhiniformes","Triakidae","Mustelus"
"Brown smooth-hound","Mustelus henlei","Elasmobranchii","Carcharhiniformes","Triakidae","Mustelus"
"Sicklefin smooth-hound","Mustelus lunulatus","Elasmobranchii","Carcharhiniformes","Triakidae","Mustelus"
"Leopard shark","Triakis semifasciata","Elasmobranchii","Carcharhiniformes","Triakidae","Triakis"
"Horn shark","Heterodontus francisci","Elasmobranchii","Heterodontiformes","Heterodontidae","Heterodontus"
"Frilled shark","Chlamydoselachus anguineus","Elasmobranchii","Hexanchiformes","Chlamydoselachidae","Chlamydoselachus"
"Bluntnose sixgill shark","Hexanchus griseus","Elasmobranchii","Hexanchiformes","Hexanchidae","Hexanchus"
"Broadnose sevengill shark","Notorynchus cepedianus","Elasmobranchii","Hexanchiformes","Hexanchidae","Notorynchus"
"Bigeye thresher","Alopias superciliosus","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"Thresher","Alopias vulpinus","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"Basking shark","Cetorhinus maximus","Elasmobranchii","Lamniformes","Cetorhinidae","Cetorhinus"
"Great white shark","Carcharodon carcharias","Elasmobranchii","Lamniformes","Lamnidae","Carcharodon"
"Shortfin mako","Isurus oxyrinchus","Elasmobranchii","Lamniformes","Lamnidae","Isurus"
"Salmon shark","Lamna ditropis","Elasmobranchii","Lamniformes","Lamnidae","Lamna"
"Smalltooth sand tiger","Odontaspis ferox","Elasmobranchii","Lamniformes","Odontaspididae","Odontaspis"
"Pelagic stingray","Pteroplatytrygon violacea","Elasmobranchii","Myliobatiformes","Dasyatidae","Pteroplatytrygon"
"California butterfly ray","Gymnura marmorata","Elasmobranchii","Myliobatiformes","Gymnuridae","Gymnura"
"Spinetail mobula","Mobula japanica","Elasmobranchii","Myliobatiformes","Myliobatidae","Mobula"
"Smoothtail mobula","Mobula thurstoni","Elasmobranchii","Myliobatiformes","Myliobatidae","Mobula"
"Bat eagle ray","Myliobatis californica","Elasmobranchii","Myliobatiformes","Myliobatidae","Myliobatis"
"Round stingray","Urolophus halleri","Elasmobranchii","Myliobatiformes","Urolophidae","Urolophus"
"Whale shark","Rhincodon typus","Elasmobranchii","Orectolobiformes","Rhincodontidae","Rhincodon"
"Deep-sea skate","Bathyraja abyssicola","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja"
"Sandpaper skate","Bathyraja interrupta","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja"
"Spiny skate","Bathyraja spinosissima","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja"
"Roughtail skate","Bathyraja trachura","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja"
"California skate","Raja inornata","Elasmobranchii","Rajiformes","Rajidae","Raja"
"Longnose skate","Raja rhina","Elasmobranchii","Rajiformes","Rajidae","Raja"
"Starry skate","Raja stellulata","Elasmobranchii","Rajiformes","Rajidae","Raja"
"Thornback guitarfish","Platyrhinoidis triseriata","Elasmobranchii","Rajiformes","Rhinobatidae","Platyrhinoidis"
"Banded guitarfish","Zapteryx exasperata","Elasmobranchii","Rajiformes","Rhinobatidae","Zapteryx"
"Pygmy shark","Euprotomicrus bispinatus","Elasmobranchii","Squaliformes","Dalatiidae","Euprotomicrus"
"Prickly shark","Echinorhinus cookei","Elasmobranchii","Squaliformes","Echinorhinidae","Echinorhinus"
"Pacific sleeper shark","Somniosus pacificus","Elasmobranchii","Squaliformes","Somniosidae","Somniosus"
"Picked dogfish","Squalus acanthias","Elasmobranchii","Squaliformes","Squalidae","Squalus"
"Pacific angelshark","Squatina californica","Elasmobranchii","Squatiniformes","Squatinidae","Squatina"
"Spotted ratfish","Hydrolagus colliei","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus"
"Black hagfish","Eptatretus deani","Myxini","Myxiniformes","Myxinidae","Eptatretus"
"Pacific hagfish","Eptatretus stoutii","Myxini","Myxiniformes","Myxinidae","Eptatretus"
"Whiteface hagfish","Myxine circifrons","Myxini","Myxiniformes","Myxinidae","Myxine"
"Slim anchovy","Anchoviella miarcha","Actinopterygii","Clupeiformes","Engraulidae","Anchoviella"
"Big skate","Beringraja binoculata","Elasmobranchii","Rajiformes","Rajidae","Beringraja"
"Alaska pollock","Gadus chalcogrammus","Actinopterygii","Gadiformes","Gadidae","Gadus"
"Beardless spearnose","Ganoideus vulsus","Actinopterygii","Scorpaeniformes","Agonidae","Ganoideus"
"Diamond stingray","Hypanus dipterurus","Elasmobranchii","Myliobatiformes","Dasyatidae","Hypanus"
"Russian river tule perch","Hysterocarpus traskii","Actinopterygii","Perciformes","Embiotocidae","Hysterocarpus"
"Zebraperch","Kyphosus azureus","Actinopterygii","Perciformes","Kyphosidae","Kyphosus"
"Escolar","Lepidocybuim flavobrunneum","Actinopterygii","Perciformes","Gempylidae","Lepidocybuim"
"Pacific manta","Mobula birostris","Elasmobranchii","Myliobatiformes","Myliobatidae","Mobula"
"Shovelnose guitarfish","Pseudobatos productus","Elasmobranchii","Rajiformes","Rhinobatidae","Pseudobatos"
"Pacific electric ray","Tetronarce californica","Elasmobranchii","Torpediniformes","Torpedinidae","Tetronarce"
